Date Value,Month-Year,Quarter-FY,Annual-FY,# of international conservation programs supported (Monthly),# of international conservation programs supported (Cumulative FY),PROJECTED: # of international conservation programs supported  (Annually FY),Animal Preventative Health Procedures,TARGET: In development,% of online ticket sale transactions (Monthly),% of online ticket sale transactions (Year-to-Date FY),PROJECTED: % of online ticket transactions  (Annually FY),% zoo grounds in compliance with the City's brush clearance ordinance (Annually FY),PROJECTED: % zoo grounds in compliance with the City's brush clearance ordinance (Annually FY),"% of ""excellent"" rating for facility cleanliness (Annually FY)","PROJECTED: % of ""excellent"" rating for facility cleanliness (Annually FY)",# of commercial film shoots at the zoo (Monthly),# of commercial film shoots at the zoo (Year-to-Date FY),PROJECTED: # of commercial films shot at the zoo  (Annually FY),% of education programs filled (Monthly),% of education programs filled (Year to Date FY),PROJECTED:% of education programs filled (Annually FY),# of Educational Visits (Monthly),PROJECTED: # of Educational Visits (Annually FY),# of Cumulative Educational Visits (Monthly),TARGET: # of Cumulative Educational Visits (Monthly),% of restrooms inspected weekly (Annually FY),PROJECTED: % of restrooms inspected weekly  (Annually FY)
06/30/2009 12:00:00 AM,Jun-09,Q4 FY09,FY 2009,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2010 12:00:00 AM,Jun-10,Q4 FY10,FY 2010,,24,,,,,,,100%,,,,,,,,,,,,,,100%,
06/30/2011 12:00:00 AM,Jun-11,Q4 FY11,FY 2011,,31,,,,,1%,,100%,,,,,,,,,,,,,,90%,
06/30/2012 12:00:00 AM,Jun-12,Q4 FY12,FY 2012,,24,,,,,3.6%,,100%,,,,,,,93%,93%,,,,,,85%,
06/30/2013 12:00:00 AM,Jun-13,Q4 FY13,FY 2013,,30,,,,,4.6%,,100%,,,,8,8,,91%,91%,,,,,,80%,
07/31/2013 12:00:00 AM,Jul-13,,,,,,,,4.6%,,,,,,,1,,,97.6%,,,783,,783,500,,
08/31/2013 12:00:00 AM,Aug-13,,,,,,,,4.7%,,,,,,,2,,,93.4%,,,216,,999,1000,,
09/30/2013 12:00:00 AM,Sep-13,Q1 FY14,,,,,,,3.9%,,,,,,,1,,,65.3%,,,1901,,2900,3000,,
10/31/2013 12:00:00 AM,Oct-13,,,,,,,,4.7%,,,,,,,1,,,77%,,,6004,,8904,9000,,
11/30/2013 12:00:00 AM,Nov-13,,,,,,,,4.1%,,,,,,,2,,,108.2%,,,7827,,16731,15000,,
12/31/2013 12:00:00 AM,Dec-13,Q2 FY14,,,,,,,6.2%,,,,,,,0,,,94.3%,,,3061,,19792,20000,,
01/31/2014 12:00:00 AM,Jan-14,,,,,,,,4.6%,,,,,,,1,,,97.1%,,,4521,,24313,25000,,
02/28/2014 12:00:00 AM,Feb-14,,,,,,,,5.6%,,,,,,,1,,,97.6%,,,8544,,32857,35000,,
03/31/2014 12:00:00 AM,Mar-14,Q3 FY14,,,,,,,5.2%,,,,,,,2,,,105.5%,,,19593,,52450,60000,,
04/30/2014 12:00:00 AM,Apr-14,,,,,,,,5.4%,,,,,,,1,,,90.1%,,,20683,,73133,80000,,
05/31/2014 12:00:00 AM,May-14,,,,,,,,5.3%,,,,,,,1,,,99.7%,,,40933,,114066,120000,,
06/30/2014 12:00:00 AM,Jun-14,Q4 FY14,FY 2014,,29,30,,,5.2%,5%,5%,100%,100%,,,2,15,12,92.6%,94.2%,89%,12903,135000,126969,135000,70%,75%
07/31/2014 12:00:00 AM,Jul-14,,,3,3,,,,4.8%,4.8%,,,,,,0,0,,96.7%,96.7%,,1087,800,1087,800,100%,
08/31/2014 12:00:00 AM,Aug-14,,,2,5,,,,4.9%,4.8%,,,,,,0,0,,95.7%,96.4%,,433,200,1520,1000,100%,
09/30/2014 12:00:00 AM,Sep-14,Q1 FY15,,5,10,,,,4.1%,4.7%,,,,,,0,0,,48.1%,87.9%,,1189,2000,2709,3000,100%,
10/31/2014 12:00:00 AM,Oct-14,,,3,13,,,,5.4%,4.8%,,,,,,2,2,,46.6%,78.8%,,4598,6000,7307,9000,100%,
11/30/2014 12:00:00 AM,Nov-14,,,1,14,,,,4.6%,4.8%,,,,,,1,3,,91.6%,81.3%,,8043,8000,15350,17000,100%,
12/31/2014 12:00:00 AM,Dec-14,Q2 FY15,,1,15,,,,7.4%,5.1%,,,,,,1,4,,65.4%,77.8%,,3341,3000,18691,20000,100%,
01/31/2015 12:00:00 AM,Jan-15,,,,,,,,,,,,,,80%,,,,,,,,5000,,25000,,
02/28/2015 12:00:00 AM,Feb-15,,,,,,,,,,,,,,,,,,,,,,9000,,34000,,
03/31/2015 12:00:00 AM,Mar-15,Q3 FY15,,,,,,,,,,,,,,,,,,,,,22000,,56000,,
04/30/2015 12:00:00 AM,Apr-15,,,,,,,,,,,,,,,,,,,,,,25000,,81000,,
05/31/2015 12:00:00 AM,May-15,,,,,,,,,,,,,,,,,,,,,,41000,,122000,,
06/30/2015 12:00:00 AM,Jun-15,Q4 FY15,FY 2015 GOAL,,,30,,,,,6%,,100%,,80%,,,12,,,90%,,135000,,135000,,75%
06/30/2015 12:00:00 AM,Jun-15,,,,,,,,,,,,,,,,,,,,,,13000,,135000,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
